date,state,positive,negative,hospitalized,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,death
20200722,SC,745,100,734,311,342,907,C,335
20200730,AK,883,482,1,684,732,43,C+,213
20200714,OK,809,636,505,439,49,566,C+,456
20200720,SC,255,18,61,340,990,265,C,48
20200716,SC,150,238,887,839,340,427,D+,277
20200729,VT,730,726,461,952,555,443,D,220
20200729,VT,171,239,722,265,484,155,B,417
20200702,TN,599,756,425,729,753,209,C,286
20200718,VA,511,290,385,210,516,149,A,410
20200705,SC,211,559,757,831,896,567,F,104
20200723,VA,333,726,880,300,703,564,F,404
20200719,OK,673,871,885,454,27,881,A+,270
20200703,TN,496,554,374,822,869,186,D,125
20200715,AK,164,96,860,117,61,708,B+,388
20200715,TN,805,368,701,999,950,749,B+,420
20200703,AK,59,82,975,840,449,536,C+,19
20200710,MO,233,6,525,891,930,197,A+,244
20200704,OK,248,892,150,658,923,189,C,6
20200712,VT,595,722,549,476,911,110,F,365
20200729,SC,798,984,633,788,683,780,C,127
20200706,SC,282,590,492,307,229,100,A,382
20200714,VT,85,835,969,592,3,16,F,235
20200712,MO,709,498,459,540,686,727,C,315
20200704,OK,965,536,378,799,264,812,D,492
20200720,SC,652,304,68,256,194,499,A,223
20200720,MO,759,553,772,17,851,169,D+,403
20200727,OK,6,627,127,294,427,807,F,65
20200719,VA,979,783,720,907,189,473,F,338
20200717,VT,590,149,985,7,477,410,A,335
20200728,MO,485,631,625,715,391,716,A,414
20200712,OK,473,950,217,566,296,983,D,565
20200712,TN,307,270,398,706,561,902,C,669
20200720,OK,870,300,609,538,619,823,D,266
20200718,TN,831,144,907,105,540,674,C,595
20200714,OK,513,320,720,765,239,330,C+,929
20200713,TN,736,369,492,231,545,196,B,86
20200712,OK,962,456,495,463,567,912,F,626
20200719,TN,396,757,919,236,160,552,C+,526
20200714,OK,769,760,760,623,116,915,D+,634
20200716,TN,168,822,974,819,123,453,A+,776
20200719,OK,962,971,105,910,101,831,D,962
,,,,,,,,,
20200713,TN,321,864,820,610,513,547,A+,893
20200717,OK,478,220,133,323,321,744,F,67
20200714,TN,799,919,344,421,396,671,A+,523
20200712,OK,385,,560,863,901,595,A,742
20200712,OK,385,501,560,863,901,595,A,742
,,,,4,,,,,
